group_type,group,n,point_index,PC1,PC2
model_key,chatgpt_image_2,144,34,-3.3455413245548815,-0.7146545417135527
model_key,chatgpt_image_2,144,35,-3.3520848720593746,-0.6765831389850532
model_key,chatgpt_image_2,144,36,-3.35614418084847,-0.6386769980149368
model_key,chatgpt_image_2,144,37,-3.357712912793364,-0.6009953047425992
model_key,chatgpt_image_2,144,38,-3.3567886185053424,-0.5635968946589986
model_key,chatgpt_image_2,144,39,-3.353372741160217,-0.5265401609420225
model_key,chatgpt_image_2,144,40,-3.3474706142449735,-0.4898829632824709
model_key,chatgpt_image_2,144,41,-3.3390914532301643,-0.4536825375430175
model_key,chatgpt_image_2,144,42,-3.328248341181048,-0.4179954063912057
model_key,chatgpt_image_2,144,43,-3.3149582083299354,-0.38287729104601154
model_key,chatgpt_image_2,144,44,-3.2992418056416386,-0.3483830242757754
model_key,chatgpt_image_2,144,45,-3.281123672413307,-0.31456646478334305
model_key,chatgpt_image_2,144,46,-3.260632097959224,-0.28148041311209504
model_key,chatgpt_image_2,144,47,-3.2377990774404037,-0.249176529204165
model_key,chatgpt_image_2,144,48,-3.212660261907944,-0.21770525173957334
model_key,chatgpt_image_2,144,49,-3.185254902638141,-0.18711571938221572
model_key,chatgpt_image_2,144,50,-3.155625789846283,-0.15745569405567217
model_key,chatgpt_image_2,144,51,-3.123819185874808,-0.12877148636863311
model_key,chatgpt_image_2,144,52,-3.0898847529601454,-0.10110788330638176
model_key,chatgpt_image_2,144,53,-3.053875475691031,-0.07450807830123185
model_key,chatgpt_image_2,144,54,-3.0158475782793643,-0.04901360379111286
model_key,chatgpt_image_2,144,55,-2.975860436772769,-0.02466426637159569
model_key,chatgpt_image_2,144,56,-2.9339764863459483,-0.0014980846426203565
model_key,chatgpt_image_2,144,57,-2.89026112381557,0.020448770153033924
model_key,chatgpt_image_2,144,58,-2.844782605530899,0.04114203060685295
model_key,chatgpt_image_2,144,59,-2.7976119407996127,0.06054938664907539
model_key,chatgpt_image_2,144,60,-2.7488227810151935,0.07864053599703325
model_key,chatgpt_image_2,144,61,-2.6984913046590226,0.09538723146856853
model_key,chatgpt_image_2,144,62,-2.6466960983567254,0.11076332508665454
