component,feature,loading
PC3,color_spatial_var_lab_l,-0.09648022100290916
PC3,color_spatial_range_lab_l,-0.0948777627545008
PC3,color_spatial_var_lab_a,-0.05703419596571706
PC3,color_spatial_range_lab_a,-0.047129411346054605
PC3,color_spatial_var_lab_b,0.028593278275038263
PC3,color_spatial_range_lab_b,0.016669764846605914
PC3,halation_bright_threshold_luma,-0.0068260052041301846
PC3,halation_bright_fraction,-0.0017665783598770158
PC3,halation_ring_fraction,0.12349552511961209
PC3,red_highlight_excess_mean,0.050926964741491464
PC3,warm_highlight_excess_mean,0.03775309420254148
PC3,halation_ring_red_excess_mean,0.0453510548802371
PC3,halation_ring_red_excess_p95,0.007549822045201282
PC3,halation_background_red_excess_mean,-0.006129405096598995
PC3,halation_index_ring_minus_background,0.06038954306448919
PC3,local_lab_cov_l_a_mean,0.002495682485197649
PC3,local_lab_cov_l_a_sd,-0.02892924360514182
PC3,local_lab_cov_l_a_abs_mean,-0.004645703851236979
PC3,local_lab_cov_l_a_p90_abs,-0.025379684186985323
PC3,local_lab_corr_l_a_mean,-0.004780871988720159
PC3,local_lab_corr_l_a_sd,-0.09316059153348144
PC3,local_lab_corr_l_a_abs_mean,-0.09532287455511634
PC3,local_lab_corr_l_a_p90_abs,-0.09107090108875249
PC3,local_lab_cov_l_b_mean,0.05361937806136258
PC3,local_lab_cov_l_b_sd,0.017044192747042247
PC3,local_lab_cov_l_b_abs_mean,0.04587985467958851
PC3,local_lab_cov_l_b_p90_abs,0.032285819386714314
PC3,local_lab_corr_l_b_mean,0.04652867292041554
PC3,local_lab_corr_l_b_sd,-0.09077342316442319
PC3,local_lab_corr_l_b_abs_mean,-0.026223303858109795
PC3,local_lab_corr_l_b_p90_abs,-0.04582235034777442
PC3,local_lab_cov_a_b_mean,-0.03501561057848699
PC3,local_lab_cov_a_b_sd,-0.01998586425733173
PC3,local_lab_cov_a_b_abs_mean,-0.00683630954685416
PC3,local_lab_cov_a_b_p90_abs,-0.02225359753851177
PC3,local_lab_corr_a_b_mean,-0.09417474184897845
PC3,local_lab_corr_a_b_sd,0.07929631781919201
PC3,local_lab_corr_a_b_abs_mean,-0.0679427249633159
PC3,local_lab_corr_a_b_p90_abs,-0.07600884120898166
PC3,hue_circular_mean_turns,-0.052464648732816824
PC3,hue_resultant_length,0.0023263409798438017
PC3,hue_circular_variance,-0.0023263409798438017
PC3,hue_warm_share,-0.016627086746080176
PC3,hue_red_orange_share,-0.04509788326250899
PC3,hue_yellow_share,0.08555495857787225
PC3,hue_green_share,0.12474687981310975
PC3,hue_teal_cyan_share,-0.015537266472506259
PC3,hue_blue_share,-0.04044037128482436
PC3,hue_magenta_share,-0.023389117854442826
PC3,hue_red_orange_highlight_share,0.06970905791748316
PC3,hue_teal_cyan_shadow_share,0.03936906801121324
PC3,shadow_lab_l,0.06383265915969887
PC3,shadow_lab_a,-0.06121677029388303
PC3,shadow_lab_b,-0.009520534524756784
PC3,shadow_warmth_rgb_r_minus_b,-0.025782517445882818
PC3,shadow_saturation,-0.06989733596934308
PC3,shadow_red_excess,-0.03832182042533052
PC3,midtone_lab_l,0.05778093039042064
PC3,midtone_lab_a,-0.06555166265391736
PC3,midtone_lab_b,0.05248400872378149
PC3,midtone_warmth_rgb_r_minus_b,0.005408025785644842
PC3,midtone_saturation,-0.011148057746729171
PC3,midtone_red_excess,-0.035954346815967445
PC3,midtone_fraction,-0.02669300076239275
PC3,highlight_lab_l,0.02642250614368739
PC3,highlight_lab_a,-0.004999035375732619
PC3,highlight_lab_b,0.08126647665307485
PC3,highlight_warmth_rgb_r_minus_b,0.07049744428810262
PC3,highlight_saturation,0.009865118186182522
PC3,highlight_red_excess,0.05611153893761081
PC3,highlight_minus_shadow_lab_a,0.027143189053711488
PC3,highlight_minus_shadow_lab_b,0.07513168745158276
PC3,highlight_minus_shadow_warmth,0.07050658704531755
PC3,highlight_minus_shadow_saturation,0.06514760044055956
PC3,split_tone_distance_lab_ab,0.0256351537936395
PC3,midtone_shadow_lab_b_delta,0.06017007670254279
PC3,highlight_midtone_lab_b_delta,0.056146042534856444
PC3,luma_skewness,-0.0553722530014879
PC3,luma_kurtosis_excess,-0.044731064260866024
PC3,shadow_compression_ratio,0.06820909261273228
PC3,highlight_compression_ratio,-0.05412166334631395
PC3,highlight_rolloff_ratio,0.017739848932207772
PC3,shadow_rolloff_ratio,-0.016013603317424605
PC3,upper_lower_luma_spread_ratio,-0.08084235377193841
PC3,midtone_luma_width_p75_p25,0.018014284472217746
PC3,extreme_tail_luma_width,-0.0033310072990059385
PC3,lower_tail_luma_width_p10_p01,0.06526645341274843
PC3,upper_tail_luma_width_p99_p90,-0.017207876881771087
PC3,fft_low_freq_power_share,-0.07070048412885108
PC3,fft_mid_freq_power_share,0.07583602330120745
PC3,fft_high_freq_power_share,0.10989198397568381
PC3,fft_high_mid_power_ratio,0.0948126683010649
PC3,fft_high_low_power_ratio,0.11370882930859014
PC3,fft_radial_loglog_slope,0.11064586658309952
PC3,fft_low_freq_log_power_mean,0.08331342126407007
PC3,fft_mid_freq_log_power_mean,0.1630044271480503
PC3,fft_high_freq_log_power_mean,0.2051864819256468
PC3,palette_entropy_6,0.09010522843063233
PC3,palette_effective_clusters_6,0.08948099851507015
PC3,palette_top1_share,-0.08955260475153588
PC3,palette_top2_share_gap,-0.07241839105918904
PC3,palette_top2_lab_distance,0.017357141951620084
PC3,palette_mean_pairwise_lab_distance,-0.07181890648714216
PC3,palette_weighted_pairwise_lab_distance,0.00606052729427284
PC3,palette_within_cluster_lab_rmse,0.09015128238881748
PC3,palette_dominant_lab_l,0.010144730886963178
PC3,palette_dominant_lab_a,-0.027224872614178355
PC3,palette_dominant_lab_b,0.04566243262148616
PC3,palette_dominant_lab_chroma,0.020559527944503064
PC4,rgb_mean_r,0.02606538917908707
PC4,rgb_mean_g,0.020642938388050827
PC4,rgb_mean_b,0.0033466664992913425
PC4,rgb_sd_r,0.20916585493304632
PC4,rgb_sd_g,0.0733390230995854
