model_key,feature,ss_total,condition_share,run_block_share,condition_by_run_share,within_run_replicate_share,condition_to_seed_variance_ratio,n_conditions,n_runs,n_replicates_per_run
xai_grok_imagine,luma_p05,0.03695331697224159,0.3389915650139206,0.025954593142016782,0.2615240761557163,0.3735297656883465,0.5128399988134184,24,3,2
xai_grok_imagine,luma_p50,2.031886709027341,0.6950094766320541,0.001424968973299655,0.14513445654774434,0.158431097846902,2.278790399639999,24,3,2
xai_grok_imagine,luma_p95,1.6763902540960631,0.5956130523497551,0.00023850699396114124,0.12055771071572144,0.2835907299405621,1.4728790229522999,24,3,2
xai_grok_imagine,luma_p99,0.8624377302348801,0.3482124442285872,0.007768457772854975,0.21557339646716644,0.4284457015313915,0.5342422406584089,24,3,2
xai_grok_imagine,dynamic_range_p95_p05,1.805627152119854,0.5932355405294347,0.0002759287660666833,0.12379092141970867,0.2826976092847898,1.458425205834295,24,3,2
xai_grok_imagine,luma_iqr_p75_p25,1.1606251550524371,0.6152122599453338,0.0006226940640548334,0.12463215085157055,0.2595328951390408,1.5988353991162285,24,3,2
xai_grok_imagine,rms_contrast,0.15673641425120172,0.6354673561374778,2.3231045039588136e-05,0.12323724463219111,0.24127216818529143,1.743238546222309,24,3,2
xai_grok_imagine,michelson_contrast_p95_p05,0.28094956680139094,0.3696342091937311,0.022077457781548654,0.25444305934090866,0.3538452736838126,0.5863805025348062,24,3,2
xai_grok_imagine,shadow_fraction,7.668691887374735e-05,0.19962674944077563,0.009036645257719387,0.27616260820321437,0.5151739970983,0.24941706797583899,24,3,2
xai_grok_imagine,deep_shadow_fraction,1.163046176866822,0.6053077073732477,0.0013930753840675498,0.15968995180378273,0.23360926543890187,1.5336192742574475,24,3,2
xai_grok_imagine,highlight_fraction,1.4218827699450128e-06,0.21751527885004354,0.00591205193870261,0.25813329904383076,0.5184393701674114,0.27798022500730957,24,3,2
xai_grok_imagine,clipped_shadow_fraction,0.02149983675167277,0.3827185307765004,0.0174369509680398,0.2622181827297031,0.3376263355257569,0.6200065121960256,24,3,2
xai_grok_imagine,clipped_highlight_fraction,0.0001907008334001148,0.246667433358924,0.021314878771302666,0.2155331988448363,0.516484489024937,0.32743497929308063,24,3,2
xai_grok_imagine,rgb_cov_r_g,0.027064632522298508,0.557112279777394,0.0003727870168779771,0.15743137033323978,0.2850835628724885,1.2579086173294118,24,3,2
xai_grok_imagine,rgb_corr_r_g,0.3237264027487686,0.5806383462272423,0.003718134843965205,0.24165840444222597,0.1739851144865668,1.3845766321349837,24,3,2
